season,Unnamed: 0,movie,studio,gross,release,time
Q1 1990,94,Pretty Woman,Walt Disney Studios Motion Pictures,178406268,1990/3/23,1990/3/31
Q4 1994,415,Pulp Fiction,Miramax,107928762,1994/10/14,1994/12/31
Q4 2008,5429,Quantum of Solace,Sony Pictures Releasing,168368427,2008/11/14,2008/12/31
Q4 2018,12248,Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,201091711,2018/11/21,2018/12/31
Q4 1996,629,Ransom,Walt Disney Studios Motion Pictures,136492681,1996/11/8,1996/12/31
Q2 2007,4753,Ratatouille,Walt Disney Studios Motion Pictures,206139180,2007/6/29,2007/6/30
Q3 2011,7234,Rise of the Planet of the Apes,Twentieth Century Fox,176760185,2011/8/5,2011/9/30
Q2 1991,172,Robin Hood: Prince of Thieves,Warner Bros.,165493908,1991/6/14,1991/6/30
Q1 2005,3544,Robots,Twentieth Century Fox,128200012,2005/3/11,2005/3/31
Q4 2016,10721,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,532177324,2016/12/16,2016/12/31
Q3 1993,353,Rookie of the Year,Twentieth Century Fox,53615089,1993/7/9,1993/9/30
Q3 1999,1025,Runaway Bride,Paramount Pictures,152257509,1999/7/30,1999/9/30
Q3 1999,1113,Rush Hour,New Line Cinema,141186864,1999/9/18,1999/9/30
Q3 2001,1620,Rush Hour 2,New Line Cinema,226164286,2001/8/3,2001/9/30
Q3 1998,863,Saving Private Ryan,DreamWorks Distribution,216540909,1998/7/24,1998/9/30
Q3 2000,1321,Scary Movie,Miramax,157019771,2000/7/7,2000/9/30
Q4 1992,270,Scent of a Woman,Universal Pictures,63095253,1992/12/23,1992/12/31
Q4 1993,352,Schindler's List,Universal Pictures,96065768,1993/12/15,1993/12/31
Q2 2002,1907,Scooby-Doo,Warner Bros.,153294164,2002/6/14,2002/6/30
Q4 1996,647,Scream,Dimension Films,103046663,1996/12/20,1996/12/31
Q4 1997,749,Scream 2,Dimension Films,101363301,1997/12/12,1997/12/31
Q3 1995,524,Se7en,New Line Cinema,100125643,1995/9/22,1995/9/30
Q2 2008,5430,Sex and the City,Warner Bros.,152647258,2008/5/30,2008/6/30
Q4 2004,2937,Shark Tale,DreamWorks Distribution,160861908,2004/10/1,2004/12/31
Q4 1989,14,She-Devil,Orion Pictures,15351421,1989/12/8,1989/12/31
Q4 2009,6084,Sherlock Holmes,Warner Bros.,209028679,2009/12/25,2009/12/31
Q4 2011,7243,Sherlock Holmes: A Game of Shadows,Warner Bros.,186848418,2011/12/16,2011/12/31
Q2 2001,1618,Shrek,DreamWorks Distribution,267665011,2001/5/16,2001/6/30
Q2 2004,2930,Shrek 2,DreamWorks Distribution,441181022,2004/5/19,2004/6/30
Q2 2010,6638,Shrek Forever After,DreamWorks,238736787,2010/5/21,2010/6/30
