,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
253,Q3 2006,4102.0,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,422614379.0,2006/7/7,2006/9/30,Q3,2006
242,Q4 2006,4118.0,Night at the Museum,Twentieth Century Fox,250860439.0,2006/12/22,2006/12/31,Q4,2006
450,Q2 2006,4104.0,X-Men: The Last Stand,Twentieth Century Fox,234337076.0,2006/5/26,2006/6/30,Q2,2006
69,Q2 2006,4103.0,Cars,Walt Disney Studios Motion Pictures,244082982.0,2006/6/9,2006/6/30,Q2,2006
71,Q4 2006,4110.0,Casino Royale,Sony Pictures Releasing,167007184.0,2006/11/17,2006/12/31,Q4,2006
340,Q2 2006,4105.0,The Da Vinci Code,Sony Pictures Releasing,217536138.0,2006/5/19,2006/6/30,Q2,2006
168,Q1 2006,4107.0,Ice Age: The Meltdown,Twentieth Century Fox,195306682.0,2006/3/31,2006/3/31,Q1,2006
391,Q4 2006,4119.0,The Pursuit of Happyness,Sony Pictures Releasing,163313999.0,2006/12/15,2006/12/31,Q4,2006
319,Q2 2006,4106.0,Superman Returns,Warner Bros.,200081192.0,2006/6/28,2006/6/30,Q2,2006
141,Q4 2006,4108.0,Happy Feet,Warner Bros.,198000317.0,2006/11/17,2006/12/31,Q4,2006
334,Q3 2007,4751.0,The Bourne Ultimatum,Universal Pictures,227471070.0,2007/8/3,2007/9/30,Q3,2007
0,Q1 2007,4752.0,300,Warner Bros.,210614939.0,2007/3/9,2007/3/31,Q1,2007
16,Q4 2007,4758.0,Alvin and the Chipmunks,Twentieth Century Fox,217313244.0,2007/12/14,2007/12/31,Q4,2007
148,Q3 2007,4750.0,Harry Potter and the Order of the Phoenix,Warner Bros.,292004738.0,2007/7/11,2007/9/30,Q3,2007
163,Q4 2007,4754.0,I Am Legend,Warner Bros.,256393010.0,2007/12/14,2007/12/31,Q4,2007
289,Q2 2007,4747.0,Shrek the Third,DreamWorks,322719944.0,2007/5/18,2007/6/30,Q2,2007
252,Q2 2007,4749.0,Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,309420425.0,2007/5/25,2007/6/30,Q2,2007
302,Q2 2007,4746.0,Spider-Man 3,Sony Pictures Releasing,336530303.0,2007/5/4,2007/6/30,Q2,2007
241,Q4 2007,4761.0,National Treasure: Book of Secrets,Walt Disney Studios Motion Pictures,215306145.0,2007/12/21,2007/12/31,Q4,2007
421,Q3 2007,4748.0,Transformers,DreamWorks,319246193.0,2007/7/3,2007/9/30,Q3,2007
177,Q2 2008,5423.0,Iron Man,Paramount Pictures,318604126.0,2008/5/2,2008/6/30,Q2,2008
139,Q3 2008,5424.0,Hancock,Sony Pictures Releasing,227946274.0,2008/7/2,2008/9/30,Q3,2008
172,Q2 2008,5422.0,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,317101119.0,2008/5/22,2008/6/30,Q2,2008
261,Q4 2008,5429.0,Quantum of Solace,Sony Pictures Releasing,168368427.0,2008/11/14,2008/12/31,Q4,2008
341,Q3 2008,5421.0,The Dark Knight,Warner Bros.,533345358.0,2008/7/18,2008/9/30,Q3,2008
158,Q1 2008,5431.0,Horton Hears a Who!,Twentieth Century Fox,154466039.0,2008/3/14,2008/3/31,Q1,2008
435,Q2 2008,5425.0,WALL·E,Walt Disney Studios Motion Pictures,223799741.0,2008/6/27,2008/6/30,Q2,2008
206,Q4 2008,5427.0,Madagascar: Escape 2 Africa,DreamWorks,180010950.0,2008/11/7,2008/12/31,Q4,2008
195,Q2 2008,5426.0,Kung Fu Panda,DreamWorks,215434591.0,2008/6/6,2008/6/30,Q2,2008
428,Q4 2008,5428.0,Twilight,Summit Entertainment,192769854.0,2008/11/21,2008/12/31,Q4,2008
305,Q2 2009,6059.0,Star Trek,Paramount Pictures,257730019.0,2009/5/8,2009/6/30,Q2,2009
331,Q4 2009,6061.0,The Blind Side,Warner Bros.,255951749.0,2009/11/20,2009/12/31,Q4,2009
284,Q4 2009,6084.0,Sherlock Holmes,Warner Bros.,209028679.0,2009/12/25,2009/12/31,Q4,2009
432,Q2 2009,6055.0,Up,Walt Disney Studios Motion Pictures,293004164.0,2009/5/29,2009/6/30,Q2,2009
352,Q2 2009,6058.0,The Hangover,Warner Bros.,277322503.0,2009/6/5,2009/6/30,Q2,2009
147,Q3 2009,6054.0,Harry Potter and the Half-Blood Prince,Warner Bros.,301959197.0,2009/7/15,2009/9/30,Q3,2009
407,Q4 2009,6056.0,The Twilight Saga: New Moon,Summit Entertainment,296623634.0,2009/11/20,2009/12/31,Q4,2009
17,Q4 2009,6076.0,Alvin and the Chipmunks: The Squeakquel,Twentieth Century Fox,219553378.0,2009/12/23,2009/12/31,Q4,2009
33,Q4 2009,6057.0,Avatar,Twentieth Century Fox,749766139.0,2009/12/18,2009/12/31,Q4,2009
424,Q2 2009,6053.0,Transformers: Revenge of the Fallen,DreamWorks,402111870.0,2009/6/24,2009/6/30,Q2,2009
321,Q4 2010,6643.0,Tangled,Walt Disney Studios Motion Pictures,200807262.0,2010/11/24,2010/12/31,Q4,2010
170,Q3 2010,6635.0,Inception,Warner Bros.,292576195.0,2010/7/16,2010/9/30,Q3,2010
144,Q4 2010,6636.0,Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,295983305.0,2010/11/19,2010/12/31,Q4,2010
288,Q2 2010,6638.0,Shrek Forever After,DreamWorks,238736787.0,2010/5/21,2010/6/30,Q2,2010
90,Q3 2010,6637.0,Despicable Me,Universal Pictures,251513985.0,2010/7/9,2010/9/30,Q3,2010
162,Q1 2010,6639.0,How to Train Your Dragon,DreamWorks,217581231.0,2010/3/26,2010/3/31,Q1,2010
406,Q2 2010,6634.0,The Twilight Saga: Eclipse,Summit Entertainment,300531751.0,2010/6/30,2010/6/30,Q2,2010
420,Q2 2010,6631.0,Toy Story 3,Walt Disney Studios Motion Pictures,415004880.0,2010/6/18,2010/6/30,Q2,2010
178,Q2 2010,6633.0,Iron Man 2,Paramount Pictures,312433331.0,2010/5/7,2010/6/30,Q2,2010
13,Q1 2010,6632.0,Alice in Wonderland,Walt Disney Studios Motion Pictures,332430200.0,2010/3/5,2010/3/31,Q1,2010
254,Q2 2011,7229.0,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,237710309.0,2011/5/20,2011/6/30,Q2,2011
70,Q2 2011,7231.0,Cars 2,Walt Disney Studios Motion Pictures,191393981.0,2011/6/24,2011/6/30,Q2,2011
110,Q2 2011,7230.0,Fast Five,Universal Pictures,209837675.0,2011/4/29,2011/6/30,Q2,2011
224,Q4 2011,7245.0,Mission: Impossible - Ghost Protocol,Paramount Pictures,209397903.0,2011/12/16,2011/12/31,Q4,2011
411,Q2 2011,7232.0,Thor,Paramount Pictures,181030624.0,2011/5/6,2011/6/30,Q2,2011
285,Q4 2011,7243.0,Sherlock Holmes: A Game of Shadows,Warner Bros.,186848418.0,2011/12/16,2011/12/31,Q4,2011
145,Q3 2011,7225.0,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,381011219.0,2011/7/15,2011/9/30,Q3,2011
